id,Title,Content
25,"Family Movie Night: COCO","Come watch COCO with your family for just $2.00! There will be popcorn and refreshments available for purchase (cash only)."
37,"English Reading & Writing","Sign up for our English Reading and Writing Classes catered for different age groups from K-G5. The instructor Jenni is a fully qualified elementary school teacher with 22 years of teaching experiences across 5 continents. She is passionate about reading and sharing this love of reading with children. Jenni believes in the power of books to inspire, entertain, teach and be great companions throughout our lifetime."
126,"Big Loud Concert","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce vel blandit magna, vitae ultrices lectus. Nulla consequat <a href=""#"">porta turpis, quis ullamcorper erat vehicula</a> in. Nam a sagittis metus, id ullamcorper enim. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nulla ac interdum velit, ut fringilla risus. Mauris auctor mattis nisl eu tristique. Suspendisse sed leo sit amet dui consequat porta. Curabitur vestibulum tincidunt interdum. Pellentesque sodales massa at elit consequat varius."
255,"2018 UNA Yard Sale","<div class=""vc_row wpb_row vc_row-fluid dt-default"">
<div class=""wpb_column vc_column_container vc_col-sm-12"">
<div class=""vc_column-inner "">
<div class=""wpb_wrapper"">
<div class=""wpb_text_column wpb_content_element "">
<div class=""wpb_wrapper"">

The University Neighbourhoods Association invites you to attend the Annual UNA Yard Sale on <strong>June 16th</strong>. This community event is an opportunity to pass on treasures and to find new ones!

UNA Members can book a table online for $17.00, or bring their own table free-of-charge.

</div>
</div>
<div class=""vc_btn3-container vc_btn3-inline""><a class=""vc_general vc_btn3 vc_btn3-size-md vc_btn3-shape-rounded vc_btn3-style-modern vc_btn3-color-grey"" title=""Book Online"" href=""https://ca.apm.activecommunities.com/myunarecreation/Activity_Search/2018-yard-sale/4638"" target=""_blank"" rel=""noopener"">Book a Table</a></div>
<div class=""vc_btn3-container vc_btn3-inline"">
The Yard Sale is one way in which the UNA builds community and reduces environmental and economic waste. The more hands an item passes through, the more environmental and economic value it provides. Reusing items keeps materials out of the landfills and oceans, and decreases costs associated with purchasing and disposing of multiple, new items.</div>
</div>
</div>
</div>
</div>"
293,"Family Movie Night","Bring the whole family to The Old Barn Community Centre on the first Saturday of every month for Family Movie Night!

This month's featured movie on July 07 is Peter Rabbit!

$2 admission. Popcorn, snacks, and drinks are available for sale, cash only. Chairs will be provided but feel free to bring your blankets and pillows.

Parents must accompany their children. Doors open at 6 pm, movie starts at 6:30 pm"
5617,"Active Play","(Ages 9 - 12)

Youth aged 9 to 12 are invited to play, get active and build friendships. In this club our resident instructor, Claire Shepansky, will lead games that encourage personal growth and inclusivity. Activities will include gym games, team sports, and even outdoor fun!"
5618,"Disability Inclusion in Sports","Are you a person with a disability or the parent or caregiver of a person with special needs? The Wesbrook Community Centre is looking for community input on how to make their programs and facilities more inclusive of UNA residents with diverse abilities.

Join us for an Open House where we will discuss:
<ul>
 	<li>improving the accessibility of community centre facilities and equipment</li>
 	<li>developing new programs for community members with diverse abilities</li>
 	<li>opportunities for adaptive sports programming</li>
</ul>
The event will include tours of the facility and opportunities to provide feedback, suggestions and participate in discussions with other community members. Refreshments and door prizes available!

For more information contact Andrea Bundon, PhD at <a href=""mailto:andrea.bundon@ubc.ca"">andrea.bundon@ubc.ca</a>."
5620,"Parking Permit 2017 Expiry Example","An important notice for all UNA Parking Permit and Visitor Parking Pass holders.

2018 – 2019 UNA Parking Permit and Visitor Passes are still available for purchase at the UNA Office.

It is important to get your new UNA Parking Permit or Visitor Parking Pass before May 15, 2018. Accepted methods of payment are Visa, MasterCard, and Debit.

For more information please <a href=""http://www.myuna.ca/services/parking/"">visit the UNA website</a>."
5621,"Victoria Day","The UNA Office and Community Centres will be closed for the Victoria Day holiday."
5623,"Bike To Work Week","Bike to Work Week is just around the corner! If you haven’t signed up already, you can do so by following these steps:
<ol>
 	<li>Go to the Bike to Work Week <u><a href=""http://www.bikehub.ca/registration"">Registration Page</a></u></li>
 	<li>Select: 'I am a Rider'</li>
 	<li>Select: 'Join an existing Team'</li>
 	<li>Type in “Team UNA” and join the team!</li>
</ol>
Participation doesn’t have to be a huge commitment. Even biking one day of the week, or biking part-way to work, is a great contribution to personal and environmental health."
5624,"Barn Raising - 2018","Join us at the Old Barn for a community evening that celebrates the best of what our neighbourhoods have to offer. With live music, a beer garden, $1 hotdogs, and a kid zone, this event has something for everyone. Stop by on August 25th and experience this 12th Annual event!

This event is hosted by the UNA and made possible by our sponsors: Wesbrook Village, BierCraft, CITR Discorder, TD Canada Trust, and David Eby’s Community Office."
5801,"Photos with Santa & Ornament Making","Create some winter memories that you can cherish by taking a photo with Santa and making Christmas tree ornaments. Professional holiday family photos are only $5.00. The ornament making workshop is free and open to all ages and artistic abilities."
5804,"Lunar New Year Celebration 2019","Join us in welcoming in the Year of the Pig at the Wesbrook Community Centre. This family event will feature music, dance, games, crafts and other exciting activities. This is a great way to celebrate Asian culture and to meet your neighbours."
5807,"Arm Knitting Workshop","Arm Knitting is a new and trendy way of knitting cozy scarves and blankets. No needles are required! In this one day workshop, you will learn how to arm knit an infinity scarf. Instructions and materials are provided."
5841,"Strata 101 Training","A free information session on Strata corporations and building management. Key terms and concepts include bylaws, AGM, strata fees, CFR, neighbors’ disputes, roles and responsibilities of a strata council, and your rights and obligations as a strata owner or a renter.

English Session: February 26
Mandarin Session: February 28"
5843,"Strata 101 Training","A free information session on Strata corporations and building management. Key terms and concepts include bylaws, AGM, strata fees, CFR, neighbors’ disputes, roles and responsibilities of a strata council, and your rights and obligations as a strata owner or a renter.

English Session: February 26
Mandarin Session: February 28"
5847,"Family Day Pajama Party","Bring your family to The Old Barn Community Centre for a pajama party. Join us for a movie matinee, themed crafts, games, and story times. Participants in Pajamas will receive free popcorn during the movie.

Movie: <strong>Incredibles 2</strong>"
5850,"Etsy Vancouver Market","Are you ready for a festive celebration of contemporary handmade featuring the Vancouver's foremost voices in craft and design? This is your one-stop shopping event for one of a kind gift-giving!

Shop handmade, discover new local talents, connect with creativity and explore a range of lifestyle offerings. AND...this year, we are teaming up with the <a href=""https://www.facebook.com/WesbrookVillage/"" target=""_blank"" rel=""noopener"">Wesbrook Village</a> for a massive Winter Festival. In addition to the Etsy Vancouver Market, there will also be: Balloon Winter Wonderland, housed in the 1,600 sq ft Wesbrook Welcome Centre, scavenger hunt, horse-drawn carriage ride, DIY make and take crafts, live music, bars, and restaurants on-site, and much more!"
5893,"Test Event - Beaty Biodiversity Museum","This is a test event description."
5896,"Test Event - UBC Garden","This is a test event description."
